0	0	0	0.57162	0.605911	0.21524	0.044612	0	0	0	0	0	0	0	0	0.01487	0.51754	0.654483	0.731803	0.787668	0.843387	0.864082	0.878863	0.881414	0.869538	0.837811	0.539401	0.099983	0	0	0	0	0	0	0	0	0.037818	0.264046	0.312595	0.057683
0	0	0	0.285638	0.80219	0.224995	0.032917	0	0	0	0	0	0	0	0	0	0.409254	0.689825	0.779262	0.852066	0.895038	0.936193	0.947963	0.953203	0.949176	0.930142	0.801543	0.344675	0	0	0	0	0	0	0	0	0.037399	0.218851	0.296547	0.094231
0	0	0	0	0.829645	0.46466	0.028939	0	0	0	0	0	0	0	0	0	0.285169	0.730148	0.831522	0.900086	0.949906	0.97951	1	1	1	0.993915	0.964011	0.608033	0.185664	0	0	0	0	0	0	0	0.041599	0.204102	0.274182	0.112235
0	0	0	0	0.625831	0.725938	0.032968	0	0	0	0	0	0	0	0	0	0.159201	0.670488	0.872417	0.947986	0.993376	1	1	1	1	1	1	0.835064	0.410163	0.076287	0	0	0	0	0	0	0.072133	0.201946	0.249686	0.115417
0	0	0	0	0.278496	0.854645	0.140355	0	0	0	0	0	0	0	0	0	0.046705	0.546395	0.908453	0.979753	1	1	0.979569	0.973613	1	1	1	0.982823	0.621506	0.252703	0.023639	0	0	0	0	0.002805	0.099054	0.200056	0.234164	0.106549
0	0	0	0	0	0.776864	0.413871	0	0	0	0	0	0	0	0	0	0	0.41423	0.903422	1	1	1	0.935485	0.876866	0.928602	1	1	1	0.765733	0.431035	0.165395	0.015034	0	0	0	0.049423	0.130068	0.211967	0.220419	0.086771
0	0	0	0	0	0.512748	0.619107	0	0	0	0	0	0	0	0	0	0	0.299296	0.784446	1	1	1	0.902617	0.82175	0.829382	0.92103	1	1	0.846521	0.56159	0.297077	0.134117	0.05112	0.028334	0.054282	0.103556	0.16818	0.221345	0.195123	0.064843
0	0	0	0	0	0.182865	0.66609	0.221906	0	0	0	0	0	0	0	0	0	0.202276	0.649643	1	1	1	0.887768	0.797767	0.785745	0.83402	0.922717	0.949508	0.857384	0.640398	0.409783	0.22983	0.142181	0.11265	0.118047	0.148289	0.190627	0.216041	0.166209	0.046531
0	0	0	0	0	0	0.511254	0.419822	0.000175	0	0	0	0	0	0	0	0	0.128086	0.514041	0.892991	1	1	0.889678	0.794445	0.768251	0.793959	0.844827	0.883616	0.822598	0.676932	0.474556	0.322249	0.22473	0.174106	0.176338	0.198353	0.222282	0.21535	0.135402	0.022475
0	0	0	0	0	0	0.255455	0.488023	0.187876	0	0	0	0	0	0	0	0	0.080458	0.395223	0.742114	0.958618	0.979944	0.893987	0.803409	0.759661	0.768049	0.796045	0.814323	0.782177	0.665684	0.519972	0.381507	0.286278	0.243485	0.22759	0.225509	0.221871	0.184578	0.087241	0
0	0	0	0	0	0	0.036134	0.402316	0.332137	0.077219	0	0	0	0	0	0	0	0.056724	0.302013	0.597078	0.825895	0.906553	0.873685	0.807709	0.757489	0.742968	0.755332	0.754447	0.723751	0.640961	0.526164	0.41338	0.33512	0.280634	0.257853	0.247028	0.220073	0.152315	0.053665	0
